State,URL,Frequency,
IN,https://dpmsportscards.com/,Every 14 Days,
IN,https://jjallstarsportscards.com/,Every 14 Days,
IN,https://www.railsplittersauthentics.com/,Every 14 Days,
IN,https://www.portercountyexpo.org/,Every 14 Days,
IN,https://www.gencon.com/indy,Every 90 Days,
IN,https://www.hobbydencollectibles.com/evansville-national-card-con.htm,Every 90 Days,
MI,https://detroitsportsspectacular.com/,Every 90 Days,
MI,https://collectorsarena.net/pages/events-calendar,Every 14 Days,
MI,https://www.legendsfanshop.com/card-shows/,Every 14 Days,
MI,https://detroitcardshow.com/pages/2025-event-schedule,Every 14 Days,
MI,http://www.metrodetroitcardshows.com/shows.html,Every 14 Days,
MA,http://www.cardboardpromotions.com/,Every 90 Days,
MI,https://www.facebook.com/LivoniaCardShow,Every 14 Days,
MI,https://www.lansingmall.com/event/21310-sportscards-memorabilia-show,Every 14 Days,
OH,https://gametimesportscollect.com/southern-ohio-sports-card-spectacular/,Every 90 Days,
OH,https://hartvillemarketplace.com/events/,Every 14 Days,Be aware of non-sports card events on this page as well
OH,https://www.universe.com/events/collect-a-con-cleveland-oh-tickets-C9TQHG,Every 90 Days,
OH,https://strongsvillesports.com/,Every 90 Days,
OH,https://collectaconusa.com/,Every 90 Days,Multi-state and embedded in images
OH,https://www.originsgamefair.com/,Every 90 Days,
OH,https://scgcon.starcitygames.com/,Every 90 Days,Multi-state and link layers deep
OH,https://eventsplus.audacy.com/cleveland/wkrk/e/glcc2025,Every 90 Days,
OH,https://www.pokemon.com/us/play-pokemon/pokemon-events/championship-series/2025/regional-special-championships,Every 90 Days,Do Not Include any show outside of the United States
OH,https://www.rostercon.com/en/location/usa-en/ohio,Every 14 Days,
OH,https://gametimesportscollect.com/southway-american-legion-show/,Every 14 Days,
OH,https://www.dallascardshow.com/,Every 14 Days,Multi-State Shows
OH,https://www.cincycardshows.com/,Every 90 Days,
AL,https://gulfcoastcardshow.com/,Every 90 Days,
AL,https://thefliptradeshow.com/pages/events-coming-up,Every 90 Days,
AL,https://www.southalabamacomiccon.com/,Every 90 Days,
AL,https://www.jacksonssportscards.com/card-shows.html,Every 14 Days,
AK,https://www.alaskacomicon.com/,Every 90 Days,
AK,https://www.anchorage.net/event/collectors-of-the-north%3A-cards-and-collectables-expo/47500/,Every 90 Days,
AZ,https://dtphx.org/do/arizona-state-card-show-spring-2025,Every 90 Days,
AZ,https://www.eventzilla.net/e/phoenix-area-cards--more-expomemorial-day-edition-mega-show-2138664403,Every 90 Days,
AZ,https://www.showclix.com/event/front-row-card-show-phoenix-2025-june-28-29,Every 90 Days,
AZ,https://greatergadsden.com/events/gadsden-collector-con/,Every 90 Days,
AZ,https://downtowntucson.org/do/the-520-card-show,Every 90 Days,
AZ,https://www.arizonacollectorsexpo.com/,Every 90 Days,
CA,https://westcoastcardshow.com/,Every 90 Days,
CA,https://www.collectorsexpo.com/bay-area,Every 90 Days,
CA,https://www.strategicon.net/,Every 90 Days,
CA,https://www.sacanime.com/,Every 90 Days,
CA,https://anime619.com/,Every 90 Days,
CA,https://boxscorecollectibles.com/events,Every 30 Days,
CA,https://cvcshow.com/,Every 14 Days,
CA,https://www.trifectacollectibles.com/events/list/,Every 14 Days,
CA,https://www.sdcollectibles.com/,Every 14 Days,
CA,https://www.eastbaycardshow.com/,Every 14 Days,
CO,https://denvercardshows.com/,Every 90 Days,
CO,https://www.norrispenrose.com/events-1,Every 30 Days,"most events are not sports card shows, so need to filter out results"
CT,https://www.northeastcardexpo.com/conn-2025,Every 90 Days,
CT,https://connecticon.org/,Every 90 Days,
DE,http://www.a2zshows1.com/,Every 14 Days,
DC,https://www.mid-atlanticshow.com/,Every 14 Days,
DC,https://www.tidewatercardsandcollectibles.com/upcoming-shows,Every 14 Days,
DC,https://757cardshows.com/,Every 14 Days,
FL,https://nonacollects.com/,Every 14 Days,
FL,https://jaxsportscards.com/2025-card-shows,Every 14 Days,
FL,https://floridatoyshows.com/,Every 14 Days,
FL,https://www.thehobbycardshow.com/,Every 14 Days,
FL,http://www.swfloridacomiccon.com/,Every 90 Days,
FL,https://www.tixr.com/groups/miamitcgconvention,Every 90 Days,
GA,https://scgcon.starcitygames.com/,Every 90 Days,Multi-state
GA,http://www.atlantacomicconvention.com/,Every 90 Days,
GA,https://charliescollectibleshow.com/events/ccs-card-show-vi/,Every 30 Days,
GA,https://www.tcdb.com/CardShows.cfm?MODE=Location&State=GA&Country=United%20States,Every 14 Days,Part of a larger database that we need to pull data from. Multi paged and multi state
ID,https://www.boisecardshow.com/shows,Every 14 Days,
ID,https://tabletop.events/conventions/gem-state-gaming-convention-2025,Every 14 Days,
HI,https://pearlridgeonline.com/events/month/,Every 14 Days,The events are embedded in a calendar view
HI,https://mauisportscards.com/,Every 14 Days,
